,Phone Name,RAM,ROM,Back Camera,Front_Camera,Battery,Processor,Price
0,"POCO C50 (Royal Blue, 32 GB)",2,32,8,5,5000 mAh,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","₹5,649"
1,"POCO M4 5G (Cool Blue, 64 GB)",4,64,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹11,999"
2,"POCO C51 (Royal Blue, 64 GB)",4,64,8,5,5000 mAh,Helio G36 Processor,"₹6,999"
3,"POCO C55 (Cool Blue, 64 GB)",4,64,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹7,749"
4,"POCO C51 (Power Black, 64 GB)",4,64,8,5,5000 mAh,Helio G36 Processor,"₹6,999"
5,"POCO M4 5G (Power Black, 64 GB)",4,64,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹11,999"
6,"POCO C55 (Power Black, 64 GB)",4,64,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹7,749"
7,"POCO C55 (Forest Green, 64 GB)",4,64,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹7,749"
8,"POCO C55 (Cool Blue, 128 GB)",6,128,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹9,249"
9,"POCO M4 5G (Yellow, 128 GB)",6,128,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹13,999"
10,"POCO C50 (Country Green, 32 GB)",2,32,8,5,5000 mAh,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","₹5,649"
11,"POCO C55 (Power Black, 128 GB)",6,128,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹9,249"
12,"POCO M5 (Power Black, 64 GB)",4,64,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹8,999"
13,"POCO M5 (Icy Blue, 64 GB)",4,64,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹8,999"
14,"POCO M4 5G (Yellow, 64 GB)",4,64,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹11,999"
15,"POCO C55 (Forest Green, 128 GB)",6,128,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹9,249"
16,"POCO M4 5G (Power Black, 128 GB)",6,128,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹13,999"
17,"POCO C50 (Royal Blue, 32 GB)",3,32,8,5,5000 mAh,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","₹6,499"
18,"POCO M5 (Yellow, 64 GB)",4,64,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹8,999"
19,"POCO M4 Pro (Yellow, 128 GB)",8,128,64,16,5000 mAh,Mediatek Helio G96 Processor,"₹13,999"
20,"POCO C50 (Country Green, 32 GB)",3,32,8,5,5000 mAh,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","₹6,499"
21,"POCO X5 5G (Jaguar Black, 128 GB)",6,128,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹15,999"
22,"POCO X5 5G (Wildcat Blue, 128 GB)",6,128,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹15,999"
23,"POCO M4 Pro 5G (Yellow, 128 GB)",8,128,50,16,5000 mAh,Mediatek Dimensity 810 Processor,"₹15,999"
24,"POCO M5 (Power Black, 128 GB)",6,128,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹10,999"
25,"POCO M5 (Yellow, 128 GB)",6,128,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹10,999"
26,"POCO X5 5G (Supernova Green, 128 GB)",6,128,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹15,999"
27,"POCO M5 (Icy Blue, 128 GB)",6,128,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹10,999"
28,"POCO M4 Pro (Cool Blue, 128 GB)",8,128,64,16,5000 mAh,Mediatek Helio G96 Processor,"₹13,999"
29,"POCO X5 Pro 5G (Horizon Blue, 256 GB)",8,256,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹23,999"
30,"POCO X5 5G (Jaguar Black, 256 GB)",8,256,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹17,999"
31,"POCO X5 Pro 5G (Astral Black, 256 GB)",8,256,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹23,999"
32,"POCO X5 5G (Wildcat Blue, 256 GB)",8,256,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹17,999"
33,"POCO M3 Pro 5G (Yellow, 128 GB)",6,128,48,8,5000 mAh,MediaTek Dimensity 700 Processor,"₹14,499"
34,"POCO M4 5G (Cool Blue, 128 GB)",6,128,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹13,999"
35,"POCO X4 Pro 5G (Yellow, 128 GB)",6,128,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹17,499"
36,"POCO X5 Pro 5G (Yellow, 256 GB)",8,256,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹23,999"
37,"POCO X5 Pro 5G (Horizon Blue, 128 GB)",6,128,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹21,999"
38,"POCO X5 Pro 5G (Yellow, 128 GB)",6,128,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹21,999"
39,"POCO X5 Pro 5G (Astral Black, 128 GB)",6,128,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹21,999"
40,"POCO F5 5G (Snowstorm White, 256 GB)",8,256,64,16,5000 mAh,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,"₹29,999"
41,"POCO X4 Pro 5G (Yellow, 64 GB)",6,64,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹16,499"
42,"POCO X5 5G (Supernova Green, 256 GB)",8,256,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹17,999"
43,"POCO F5 5G (Carbon Black, 256 GB)",8,256,64,16,5000 mAh,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,"₹29,999"
44,"POCO F5 5G (Electric Blue, 256 GB)",8,256,64,16,5000 mAh,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,"₹29,999"
